acc. date,type,operator,Onboard Fatality,Ground Fatality,Total Fatality,location,dmg,capacity
20 Aug 1982,B737,Indian Airlines,1,0,1,Amritsar Airport (ATQ),non,230
13 Sep 1982,DC10,Spantax,50,0,50,Málaga Airport (AGP),w/o,380
16 Jan 1983,B727,Türk Hava Yollari - THY,47,0,47,Ankara-Esenboga Airport (ESB),w/o,189
20 Jan 1983,B727,Northwest Orient Airlines,1,0,1,"Portland International Airport, OR (PDX)",non,189
22 Feb 1983,B737,VASP - Viação Aérea São Paulo,2,0,2,"Manaus-Eduardo Gomes International Airport, AM (MAO)",w/o,230
14 Mar 1983,B707,Jamahiriya Air Transport,5,0,5,30 km N of Sebha,w/o,189
11 Jul 1983,B737,TAME Ecuador,119,0,119,"1,5 km from Cuenca",w/o,230
1 Sep 1983,B747,Korean Air Lines - KAL,269,0,269,37 km W off Sakhalinsk [Okhotsk Sea],w/o,660
23 Sep 1983,B737,Gulf Air,112,0,112,Mino Jebel Ali,w/o,230
8 Nov 1983,B737,TAAG Angola Airlines,130,0,130,1 km from Lubango Airport (SDD),w/o,230
27 Nov 1983,B747,"Avianca, lsf Scandinavian Airlines System - SAS",181,0,181,12 km SE of Madrid-Barajas Airport (MAD),w/o,660
7 Dec 1983,B727,Iberia,51,42,93,Madrid-Barajas Airport (MAD),w/o,189
14 Dec 1983,B707,TAMPA Colombia,3,22,25,near Medellín-Enrique Olaya Herrera Airport (EOH),w/o,189
31 Jan 1984,B727,Aerolineas Argentinas,0,1,1,Rio Grande,non,189
30 Aug 1984,B737,Cameroon Airlines,2,0,2,Douala Airport (DLA),w/o,230
16 Sep 1984,B737,Iraqi Airways,3,0,3,Baghdad-Saddam International Airport (SDA),non,230
4 Dec 1984,A300,Kuwait Airways,2,0,2,Tehran-Mehrabad Airport (THR),non,280
1 Jan 1985,B727,Eastern Air Lines,29,0,29,Nevado Illimani,w/o,189
23 Jan 1985,B727,Lloyd Aéreo Boliviano - LAB,1,0,1,55 km from Santa Cruz,sub,189
19 Feb 1985,B727,Iberia,148,0,148,30 km SE of Bilbao Airport (BIO),w/o,189
23 Feb 1985,B707,Middle East Airlines - MEA,1,0,1,Beirut International Airport (BEY),min,189
